ID,CLASS,TITLE,SUBJECTS
000072833001,DR 568.8 .M4/S23,Said Halim Pa?a bütün eserleri,"Turkey--Politics and Government--1909-1918
Statesmen--Turkey
Türkiye--Siyaset ve Yönetim--1909-1918
Devlet Adamlar?--Türkiye"
000072843001,N 5302/.T319,Tarih boyunca sanat : dünya sanat tarihinde üsluplar ve ak?mlar,"Art Movements
Art--History
Sanat Ak?mlar?
Sanat--Tarih"
000072873001,ND 653 .G7/A319,Dostlukla : seçme mektuplar = De kunst van het woord,"Gogh, Vincent Van, 1853-1890--Correspondence
Painters--Netherlands--Correspondence
Gogh, Vincent Van, 1853-1890--Yaz??malar
Ressamlar--Hollanda--Yaz??malar"
000072877001,TR 139 .G85/T38,Foto muhabiri : Ara Güler'in hayat hikayesi,"Güler, Ara, 1928-
Photographers--Turkey--Biography
Photographers--Interviews
Foto?rafç?lar--Türkiye--Biyografi
Foto?rafç?lar--Ropörtajlar"
000072886001,PL 213 .K3662/O73,Bir roman kahraman? Orhan Veli : ya?ant?,"Kan?k, Orhan Veli, 1914-1950--Criticism and Interpretation
Kan?k, Orhan Veli, 1914-1950--Biography
Kan?k, Orhan Veli, 1914-1950--Ele?tiri ve Yorum
Kan?k, Orhan Veli, 1914-1950--Biyografi"
000072891001,TX 725 .H65/Y4,Yemek atlas? : otuz sekiz mutfakta dünya turu = The edible atlas : around the world in thirty-nine cuisines,"International Cooking
Uluslararas? A?ç?l?k"
000072932001,HC 79 .E5/S7319,Dünyan?n durumu 2015 : sürdürülebilirli?in önündeki gizli tehditlerle yüzle?mek = State of the world 2015 : confronting hidden threats to sustainability,"Sustainable Development
Economic Development--Environmental Aspects
Conservation of Natural Resources
Sürdürülebilir Kalk?nma
Ekonomik Geli?im--Çevresel Yönler
Koruma, Do?al Kaynaklar?n"
000072933001,DK 34 .A43/S59,Siyah Rus = The Black Russian,"Thomas, Frederick Bruce, 1872-1928
African Americans--Biography
African Americans--Russia--Biography
African American Businesspeople--Russia--Biography
Afrikal? Amerikanlar--Biyografi
Afrikal? Amerikanlar--Rusya--Biyografi
Afrikal? Amerikan ??adamlar?--Rusya--Biyografi"
000072937001,DR 592/.N33,"Naciyem, ruhum, efendim... : Enver Pa?a’n?n, e?i Naciye Sultan’a Rusya ve Orta Asya’dan yazd??? sürgün mektuplar?","Emie Naciye Sultan--Letters
Enver Pasha, 1881-1922--Letters
Emiye Naciye Sultan--Mektuplar
Enver Pa?a, 1881-1922--Mektuplar"
000072939001,CB 15/.T36,Yüzy?llar?n gerçe?i ve miras? : 16. - 17. yüzy?llar : kapitalizm ve dünya,"Civilization--Historiography
Civilization--History
Culture--Historiography
Medeniyet--Tarihçilik
Medeniyet--Tarih
Kültür--Tarihçilik"
000072940001,QE 537.2/.O95,1894 depremi ve ?stanbul,"Earthquakes--Turkey--Istanbul
Depremler--Türkiye--?stanbul"
000073006001,KKX 1610/.G87,Osmanl? ?mparatorlu?u’nda kad?l?k müessesesi : ek : A. Refik Gür ve kanunlar?n anayasaya uygunlu?unun denetimi,"Judges--Turkey--History
Judges (Islamic Law)--Turkey--History
Hakimler--Türkiye--Tarih
Hakimler (?slam Hukuku)--Türkiye--Tarih"
000073077001,DF 214/.R63,"Antik Yunan : arkeoloji, sanat ve tarih tutkunlar? için 1000 foto?raf e?li?inde kapsaml? bir ara?t?rma = The complete illustrated history of ancient Greece","Greece--Antiquities
Greece--Civilization--To 146 B.C.
Greece--History--To 146 B.C.
Yunanistan--Tarihi Eserler
Yunanistan--Tarih--M.Ö. 146’ya Kadar
Yunanistan--Medeniyet--M.Ö. 146’ya Kadar"
000073084001,DS 27/.P4319,Selçuklu Devleti'nin kurulu?u : yeni bir yorum = Early Seljuq history : a new interpretation,"Seljuks
Selçuklular"
000073143001,HD 57.7/.R4419,Liderlik ve politik zeka : PQ = Leadership PQ : how political intelligence sets successful leaders apart,"Leadership
Leadership--Political Aspects
Business and Politics
Strategic Alliances (Business)
Liderlik
Liderlik--Siyasi Yönler
?? ve Siyaset
Stratejik ?ttifaklar (??)"
000073241001,PL 248 .B26/D5819,Divan,"Baki, 1526-1600--Criticism and Interpretation
Turkish Literature--Poetry
Ghazals, Turkish
Baki, 1526-1600--Ele?tiri ve Yorumlama
Türk Edebiyat?--?iir
Gazeller, Türkçe"
000075806001,DR 486/.E44,"Osmanl? ?mparatorlu?u'nun kurulu? ve yükseli? tarihi, (1300-1600)","Ottoman Empire, 1288-1918--History
Turkey--History--Ottoman Empire--1288-1918
Osmanl? ?mparatorlu?u, 1288-1918--Tarih
Türkiye--Tarih--Osmanl? ?mparatorlu?u, 1288-1918"
000075829001,HC 492/.T49,"Cumhuriyet döneminin iktisadi tarihi, (1923-1950)","Turkey--Economic Conditions--1918-1960
Türkiye--Ekonomik Ko?ullar--1918-1960"
000075864001,HB 3722/.W63,The shifts and the shocks : what we've learned and have still to learn from the financial crisis,"Financial Crises
Global Financial Crisis, 2008-2009
International Finance
Economic Development
Monetary Policy
Economic Policy
Finansal Krizler
Küresel Finansal Kriz, 2008-2009
Uluslararas? Finans
Ekonomik Geli?im
Para Politikas?
Ekonomi Politikas?"
