ID,CLASS,TITLE,SUBJECTS
000104763001,KKX 880 .C33/K57,6098 say?l? Türk Borçlar Kanunu' na göre kiraya verenin ay?ptan sorumlulu?u,"Contracts--Turkey
Rent--Law and Legislation--Turkey
Obligations (Law)--Turkey
Kira Sözle?meleri--Türkiye
Kira--Yasa ve Mevzuat--Türkiye
Borçlar (Hukuk)--Türkiye"
000104764001,KKX 2070/.O93,Türk anayasa hukuku,"Constitutional Law
Law--Turkey 
Constitutional Law--Turkey
Anayasa Hukuku
Hukuk--Türkiye
Anayasa Hukuku--Türkiye"
000104765001,JN 34.7 .A5719/A46,"Almanya, Rusya ve Türkiye’de etnisite rejimleri ve milliyet = Regimes of ethnicity nationhood in Germany, Russia and Turkey","Ethnic Groups--Government Policy--Germany
Ethnicity--Political Aspects--Germany
Germany--Ethnic Relations
Ethnic Groups--Government Policy--Russia (Federation)
Ethnicity--Political Aspects--Russia (Federation)
Russia (Federation)--Ethnic Relations
Ethnic Groups--Government Policy--Turkey
Ethnicity--Political Aspects--Turkey
Turkey--Ethnic Relations
Etnik Gruplar--Yönetim Politikas?--Almanya
Etniklik--Siyasi Yönler--Almanya
Almanya--Etnik ?li?kiler
Etnik Gruplar--Yönetim Politikas?--Rusya (Federasyon)
Etniklik--Siyasi Yönler--Rusya (Federasyon)
Rusya (Federasyon)--Etnik ?li?kiler
Etnik Gruplar--Yönetim Politikas?--Türkiye
Etniklik--Siyasi Yönler--Türkiye
Türkiye--Etnik ?li?kiler"
000104767001,PL 216 .K37/I35,II. Me?rutiyet dönemi fikir hareketleri ve Türk edebiyat?na yans?malar? : Osmanl?c?l?k - ?slamc?l?k - Türkçülük - Bat?c?l?k,"Turkish Literature--20th Century--History and Criticism
Turkish Literature--History and Criticism
Türk Edebiyat?--20. Yüzy?l--Tarih ve Ele?tiri
Türk Edebiyat?--Tarih ve Ele?tiri"
000104768001,HV 640.4 .T9/E73,Türkiye’deki Suriyeliler toplumsal kabul ve uyum,"Refugees--Turkey
Refugees--Goverment Policy--Turkey
Refugees--Turkey--Social Apsects
Turkey--Foreign Relations--Syria
Turkey--Boundaries--Syria
Turkey--Politics and Government--21st Century
Mülteciler--Türkiye
Mülteciler--Hükümet Politikas?--Türkiye
Mülteciler--Türkiye--Sosyal Yönler
Türkiye--D?? ?li?kiler--Suriye
Türkiye--S?n?rlar--Suriye
Türkiye--Siyaset ve Yönetim--21. Yüzy?l"
000104769001,PL 248 .E21/S35,Salt?knâme (Salt?k Gazi destan?),"Sari Saltuk, 13th Century
Epic Literature, Turkish
Legends, Turkish
Sari Saltuk, 13. Yüzy?l
Epik Edebiyat, Türkçe
Efsaneler, Türkçe
"
000104770001,PL 248 .S49/N59,Niyazi-i M?sri divan? ?erhi,"Seyyid Muhammed Nûr-ul Arabî, 1810-1889
Turkish Poetry
Seyyid Muhammed Nur-ul Arabi, 1810-1889
Türk ?iiri"
000104776001,HM 881/.W49,Why did Turkey gather around ‘tree’?,"Turkey--Politics and Government--1980-
Social Movements--Turkey--Istanbul--Taksim Maydani
Occupy Movement--Turkey--21st Century
Turkey--History--21st Century
Turkey--Politics and Government--21st Century
Türkiye--Siyaset ve Yönetim--1980-
Sosyal Hareketler--Türkiye--?stanbul--Taksim Meydan?
Direni? Hareketi--Türkiye--21. Yüzy?l
Türkiye--Tarih--21. Yüzy?l
Türkiye--Siyaset ve Yönetim--21. Yüzy?l"
000104786001,DS 281 .B155/T24,Tek dünyaya do?ru : antik ?ran ve Bat?,"Iran--History--To 640
Iran--Foreign Relations--Europe
Europe--Foreign Relations--Iran
East and West
?ran--Tarih--640'a Kadar
?ran--D?? ?li?kiler--Avrupa
Avrupa--D?? ?li?kiler--?ran
Do?u ve Bat?"
000104787001,HX 376.7 .A6/O8,Osmanl? ?mparatorlu?unda sosyalist hareketler,"Socialism--Turkey--History--Sources
Sosyalizm--Türkiye--Tarih--Kaynaklar"
000104788001,DR 576 .B384/B48,Birinci Dünya sava??'nda Osmanl? seferberli?i,"World War, 1914-1918
Turkey--History--Ottoman Empire, 1288-1918
I. Dünya Sava??, 1914-1918
Türkiye--Tarih--Osmanl? ?mparatorlu?u, 1288-1918"
000104789001,D 521 .H179/B48,Birinci dünya sava?? tarihi = History of the first world war,"World War, 1914-1918
I. Dünya Sava??, 1914-1918"
000104790001,D 358 .B19/M634,"Modern dünyan?n do?u?u : küresel ba?lant?lar ve kar??la?t?rmalar, 1780-1914","World Politics
World History
History, Modern
Dünya Politikas?
Dünya Tarihi
Tarih, Modern"
000104791001,PN 81/.F75,Ele?tirinin anatomisi = Anatomy of criticism,"Criticism
Ele?tiri"
000104792001,PL 248 .A373/V32,Vefa apartman?,"Turkish Literature--Fiction
Türk Edebiyat?--Roman"
000104793001,PS 2667 .K46/H35,Halüsinasyon,"Serial Killers--Fiction
Seri Katiller--Roman"
000104794001,B 746 .Z7/I3819,?hvan-? safa risaleleri,"Ikhwan al-Safa
Islamic Philosophy
?hvan-? Safa
?slam Felsefesi"
000104795001,B 746 .Z7/I3819,?hvan-? safa risaleleri,"Ikhwan al-Safa
Islamic Philosophy
?hvan-? Safa
?slam Felsefesi"
000104796001,B 746 .Z7/I3819,?hvan-? safa risaleleri,"Ikhwan al-Safa
Islamic Philosophy
?hvan-? Safa
?slam Felsefesi"
000104797001,PL 234/.S55,?iir y?ll??? 2014,"Turkish Poetry--20th Century
Türk ?iiri--20. Yüzy?l"
000104798001,JC 599 .T9/D47,Ders kitaplar?nda insan haklar? II : tarama sonuçlar?,"Human Rights--Study and Teaching--Turkey
Human Rights--Turkey
?nsan Haklar?--E?itim ve Ö?retim--Türkiye
?nsan Haklar?--Türkiye"
000104806001,BP 165/.I851,Yerliler ve yersizler,"Islam--Addresses, Essays, Lectures, etc.
?slam--Denemeler, Makaleler, vb."
000104807001,BJ 1291/.I85,Yürek devleti,"Islamic Ethics
?slam Ahlak?"
000104808001,BP 165/.I854,Yoklu?unda dü?ülmü? notlar,"Islam--Addresses, Essays, Lectures, etc.
?slam--Denemeler, Makaleler, vb."
000104809001,Z 278/.U177,Okumad???n?z için te?ekkürler = Thank you for not reading,"Publishers and Publishing
Book Industries and Trade
Books and Reading
Reading ?nterests
Yay?n Evleri ve Yay?nc?l?k
Kitap Endüstrisi ve Ticaret
Kitaplar ve Okuma
Okuma Al??kanl???"
000104810001,K 1115 .D47/S93,Building the global market : a 4000 year history of derivatives,"Derivative Securities--Law and Legislation--History
?kincil Güvenlikler--Yasa ve Mevzuat--Tarih"
000104812001,U 162/.S725,The direction of war : contemporary strategy in historical perspective,"Strategy
Military History, Modern--21st Century
Strateji
Askeri Tarih, Modern--21. Yüzy?l"
000104814001,B 2929/.S48513,Hegel's Phenomenology of spirit,"Hegel, Georg Wilhelm Friedrich, 1770-1831
Spirit
Ruh"
000104815001,B 577 .G24/G25,Galen : psychological writings,"Galen
Psychology and Philosophy
Psikoloji ve Felsefe"
000104817001,DS 33.7/.L66,The Asian military revolution : from gunpowder to the bomb,"Military Art and Science--History
Asia--History, Military
Askerlik Sanat? ve Bilim--Tarih
Asya--Tarih, Askeri"
000104819001,U 37/.M34,Sowing the dragon's teeth : Byzantine warfare in the tenth century,"Nicephorus Phocas, Emperor of the East, 912-969
Nicephorus Uranus, Active 10th Century. The Tactica
Military Art and Science--Byzantine Empire
Tenth Century
Nicephorus Phocas, Do?u’nun ?mparatoru, 912-969
Nicephorus Uranus, 10. Yüzy?l’da Aktif. The Tactica
Askerlik Sanat? ve Bilim--Bizans ?mparatorlu?u
10. Yüzy?l"
000104820001,JZ 1308/.C559,Civilizations and world order : geopolitics and cultural difference,"International Order--Philosophy
International Relations and Culture--Philosophy
Civilization, Modern--Philosophy
Geopolitics
Uluslararas? Düzen--Felsefe
Uluslararas? ?li?kiler ve Kültür--Felsefe
Medeniyet, Modern--Felsefe
Jeopolitik"
000104823001,B 829.5/.M333,Phenomena--critique--logos : the project of critical phenomenology,"Phenomenology
Olaybilimi"
000104829001,B 1854/.C35,The Cambridge companion to Descartes' Meditations,"Descartes, René, 1596-1650. The Meditationes De Prima Philosophia
Methodology
First Philosophy
God--Proof, Ontological
Descartes, Rene, 1596-1650. Meditations on First Philosophy
Metodoloji
?lk Felsefe
Tanr?--Kan?t, Ontolojik"
000104830001,B 2798/.S95,Kant on practical life : from duty to history,"Kant, Immanuel, 1724-1804"
000104832001,Q 175.52 .T9/Y35,"Learned patriots : debating science, state, and society in the nineteenth- century Ottoman Empire","Science--Social Aspects--Turkey--History--19th Century
Science and State--Turkey--History--19th Century
Islam and Science--Turkey--History--19th Century
Science--Moral and Ethical Aspects--Turkey--History--19th Century
Science--Turkey--Public Opinion--History--19th Century
Bilim--Sosyal Yönler--Türkiye--Tarih--19. Yüzy?l
Bilim ve Devlet--Türkiye--Tarih--19. Yüzy?l
?slam ve Bilim--Türkiye--Tarih--19. Yüzy?l
Bilim--Ahlaki ve Etiksel Yönler--Türkiye--Tarih--19. Yüzy?l
Bilim--Türkiye--Kamuoyu--Tarih--19. Yüzy?l"
000104840001,RC 351 .S2320/K37,Kar?s?n? ?apka sanan adam : ya?ant?,"Neurology
Neurology--Anecdotes
Psychoanalysis--Case Studies
Nöroloji
Nöroloji--Anektodlar
Psikoanaliz--Örnek Çal??malar"
000104841001,BF 724.3 .R47/R45,Researching resilience,"Resilience (Personality Trait) in Adolescence--Research
Resilience (Personality Trait) in Children--Research
Resilience (Personality Trait) in Adolescence--Cross-Cultural Studies
Resilience (Personality Trait) in Children--Cross-Cultural Studies
Toparlanma (Ki?isel Özellik), Gençlerde--Ara?t?rma
Toparlanma (Ki?isel Özellik), Çocuklarda--Ara?t?rma
Toparlanma (Ki?isel Özellik), Gençlerde--Kültürleraras? Çal??malar
Toparlanma (Ki?isel Özellik), Çocuklarda--Kültürleraras? Çal??malar
"
000104842001,D 13/.T69,"Transnationale Geschichte : Themen, Tendenzen und Theorien","Historiography
History--Philosophy
World History
Tarihyaz?m?
Tarih--Felsefe
Dünya Tarihi"
000104843001,K 3165 .K754/B49,Beyond constitutionalism : the pluralist structure of postnational law,"Constitutional Law
Legal Polycentricity
International Law 
Anayasa Hukuku
Hukuki Ço?ulluk
Uluslararas? Hukuk"
000104844001,HV 4708 .A248/E85,Etin cinsel politikas? : feminist-vejeteryan ele?tirel kuram = The sexual politics of meat : a feminist-vegetarian critical theory,"Animal Welfare
Vegetarianism--Social Aspects
Patriarchy
Feminist Criticism
Feminist Theory
Hayvan Refah?
Vejetaryenlik--Sosyal Yönler
Ataerkillik
Feminist Ele?tiri
Feminist Teori"
000104845001,GT 2919 .T9/K89,Türk kahvesi,"Drinking Customs--Turkey
Coffee--Turkey--History
Drinking Vessels--Turkey
Turkey--Social Life and Customs
Geleneksel ?çecek--Türkiye
Kahve--Türkiye--Tarih
?çecek Kaplar?--Türkiye--Türkiye
Türkiye--Sosyal Ya?am ve Gelenekler"
000104846001,PK 8532 .T45/K33 ,Kaçan ?ehir,"Armenian Literature
Short Stories
Ermeni Edebiyat?
K?sa Öyküler"
000104847001,PS 3568 .R636/T53,Tibet ?eftali turtas? : hayalci bir hayat?n gerçek anlat?s? = Tibetan peach pie : a true account of an imaginative life,"Screenwriters--United States
Senaristler--Birle?ik Devletler
"
000104849001,PL 248 .G324/A721,Arkas? karanl?k a?açlar,"Türk Edebiyat?--Deneme
Turkish Literature--Essays"
000104850001,BF 575 .H27/F37,"Mutlulu?un sak?ncalar? = Blubberland, the dangers of happiness","Happiness
Consumption (Economics)
Popular Culture
Mutluluk
Tüketim (Ekonomi)
Popüler Kültür"
000104851001,PN 1995.9 .W6/D66,"Kad?n, islam ve sinema = Women, islam and cinema","Motion Pictures and Women--Islamic Countries
Women in Motion Pictures
Motion Pictures--Religious Aspects--Islam
Sinema Filmleri ve Kad?n--?slam Ülkeleri
Kad?n, Sinema Filmlerinde
Sinema Filmleri--Dini Yönler--?slam"
000104854001,P 95.82 .T9/A93,Neoliberal muhafazakar medya,"Mass Media--Political Aspects--Turkey
Mass Media Policy--Turkey
Mass Media--Economic Aspects--Turkey
Kitle ?leti?im--Siyasi Yönler--Türkiye
Kitle ?leti?im Politikas?--Türkiye
Kitle ?leti?im--Ekonomik Yönler--Türkiye"
000104857001,HM 846 .B3819/A35,Ak??kan gözetim,"Postmodernism--Social Aspects
Technology--Social Aspects
Electronic Surveillance--Social Aspects
Postmodernizm--Sosyal Yönler
Teknoloji--Sosyal Yönler
Elektronik Gözetim--Sosyal Yönler"
000104858001,PR 6052 .A6657/H39,Hayat düzeyleri,"Barnes, Julian--Biography
Man-Woman Relationships
Grief
Bereavement
Spouses--Death
Authors, English--21st Century--Biography
Barnes, Julian--Biyografi
Erkek-Kad?n ?li?kileri
Keder
Kay?p
E?ler--Ölüm
Yazarlar, ?ngiliz--21. Yüzy?l--Biyografi"
000104859001,PT 8176.12 .O34/I88 ,?stisna = Undtagelsen,"Denmark Literature--Fiction
Danimarka Edebiyat?--Roman"
000104861001,HT 384 .T9/C38,Türkiye kentle?mesinin toplumsal arkeolojisi,"Cities and Towns--Turkey
Urbanization--Turkey
?ehirler ve Kasabalar--Türkiye
Kentle?me--Türkiye"
000104863001,BR 100 .F79/K67,Korku ve titreme : diyalektik lirik = Frygt og bæven : dialektisk lyrik,"Christianity--Philosophy
Hristiyanl?k--Felsefe"
000104864001,PL 137 .A86/Y39,Yaz?m?z,"Turkish Language--Writing
Turkish Language--Alphabet
Türk Dili--Yaz?
Türk Dili--Alfabe"
000104872001,PS 3537 .T3234/S519,K?sa süren saltanat = Short reign,"American Literature
Migrant Agricultural Laborers--Fiction
Amerikan Edebiyat?
Göçmen Tar?m ??çileri--Roman"
000104873001,Q 175 .F49/B55,Bilimin tiranl??? = The tyranny of science,"Science--Philosophy
Philosophy and Science
Bilim--Felsefe
Felsefe ve Bilim"
000104874001,PT 2662 .E7/Z52420,Neden : bir de?ini = Die Ursache : eine Andeutung,"Bernhard, Thomas--Biography
 Authors, Austrian--20th Century--Biography
Bernhard, Thomas--Biyografi
Yazarlar, Avusturya--20. Yüzy?l--Biyografi"
000104875001,HA 32 .B89/S67,"Sosyal bilimler için veri analizi el kitab? : istatistik, ara?t?rma deseni, SPSS uygulamalar? ve yorum","Social Sciences--Statistical Methods--Computer Programs
Statistics--Data Processing
Sosyal Bilimler--?statistiksel Metod--Bilgisayar Programlar?
?statistik--Veri ??leme"
000104881001,KBP 440.35 .A45/M43,Medieval Islamic pragmatics : Sunni legal theorists' models of textual communication,"Islamic Law--Methodology--History--to 1500
Sunna--History--to 1500
Pragmatics--History
Arabic Language--Semantics--History--to 1500
?slam Hukuku--Metodoloji--Tarih--1500'de
Sünnet--Tarih--1500'de
Edimbilim--Tarih
Arap Dili--Semantik (Anlambilim)--Tarih--1500'de

"
000104882001,B 3279 .H48/S4433,The Cambridge companion to Heidegger's Being and time,"Heidegger, Martin, 1889-1976
Ontology
Space and Time
Heidegger, Martin, 1889-1976
Ontoloji
Uzay ve Zaman"
000104887001,JC 311 .O93/T44,Theories of nationalism : a critical introduction,"Nationalism
Milliyetçilik
"
000104889001,HM 742/.D5445,Digital transformations in Turkey : current perspectives in communication studies,"Online Social Networks--Turkey
Cyberspace--Social Aspects--Turkey
Çevrimiçi Sosyal A?lar--Türkiye
Siber Uzay--Sosyal Yönler--Türkiye"
000104893001,HD 9502 .R82/S68,"Russian energy strategy in the European Union, the former Soviet Union region, and China","Energy Policy--Asia, Central
Energy Policy--China
Energy Policy--Russia (Federation)
Russia (Federation)--Foreign Economic Relations
Enerji Politikas?--Asya, Orta
Enerji Politikas?--Çin
Enerji Politikas?--Rusya (Federasyon)
Rusya (Federasyon)--D?? Ekonomik ?li?kiler"
000104895001,HF 1586.42/.C46,Central Asia and the Caucasus : at the crossroads of Eurasia in the 21st century,"Geopolitics--Asia, Central
Geopolitics--Caucasus
World Politics
Asia, Central--Foreign Economic Relations
Caucasus--Foreign Economic Relations
Jeopolitik--Asya, Orta
Jeopolitik--Kafkasya
Dünya Siyaseti
Asya, Orta--D?? Ekonomik ?li?kiler
Kafkasya--D?? Ekonomik ?li?kiler"
000104898001,HD 42/.C66,The contemporary conflict resolution reader,"Conflict Management
Çat??ma Yönetimi"
000104899001,DR 741 .E4/P764,Prof. M. Tayyib Gökbilgin’in Edirne makaleleri,"Edirne (Turkey)--History
Edirne (Türkiye)--Tarih"
000104903001,PL 248 .T367/S23,Saatleri ayarlama enstitüsü,"Turkish Literature
Turkish Fiction
Türk Edebiyat?
Türk Roman?"
000104904001,PL 248 .A35/O46,Ölmeye yatmak,"Turkish Literature
Turkish Fiction
Türk Edebiyat?
Türk Roman?"
000104905001,B 751 .A47/O86,Osmanl? felsefesi : seçme metinler,"Islamic Philosophy
Philosophy--Ottoman Empire
?slam Felsefesi
Felsefe--Osmanl? ?mparatorlu?u"
000104908001,BP 130.4 .I85/N89,Nüzul s?ras?na göre hayat kitab? Kur’an : gerekçeli meal-tefsir,"Qur'an--Commentaries
Tafsir
Kur'an-? Kerim--Yorumlar
Tefsir"
000104909001,BL 96/.D565,Dinler tarihi el kitab?,"Religions--History
Dinler--Tarih"
000104910001,BP 44/.D56,Din hizmetlerinde rehberlik ve ileti?im el kitab?,"Islamic Religious Education
?slam Dini E?itimi"
000104917001,KKX 3790 .K63/T87,Türk ceza hukuku genel hükümler,"Criminal Law--Turkey
Ceza Hukuku--Türkiye"
000104918001,KKX 2070/.O93,Türk anayasa hukuku,"Turkey--Constitutional Law
Türkiye--Anayasa Hukuku"
000104919001,K 230 .G87/H858,Hukuk felsefesi,"Law--Philosophy
Ethics
Hukuk--Felsefe
Etik (Ahlak)"
000104922001,DR 584/.K58,Son devrin din mazlumlar?,"Martyrs--Turkey
Turkey--Politics and Government--1909-
?ehitler--Türkiye
Türkiye--Siyaset ve Yönetim--1909-"
000104925001,DS 357.5 .S27/A34,Afganistan ve Türkler,"Afghanistan--History
Afghanistan--Relations--Turkey
Turkey--Relations--Afghanistan
Afganistan--Tarih
Afganistan--?li?kiler--Türkiye
Türkiye--?li?kiler--Afganistan"
000104931001,PQ 2435 .R7/T8 ,K?rm?z? ve siyah I,"Young Men--France--Fiction
France--Social Life and Customs--19th Century--Fiction
Genç Adamlar--Fransa--Roman
Fransa--Sosyal Ya?am ve Gelenekler--19. Yüzy?l--Roman


"
000104933001,PG 3327 .T8/Z4,Yeralt?ndan notlar,"Russian Fiction
Rus Roman?"
000104937001,JC 71 .P6/P54,Plato's Republic : a critical guide,"Plato. Republic
Plato. Cumhuriyet"
000104938001,DK 189.2/.H57,A history of Russian thought,"Russia--Intellectual Life--1801-1917
Russia--Intellectual Life
Soviet Union--Intellectual Life
Rusya--Kültürel Ya?am--1801-1917
Rusya--Kültürel Ya?am
Sovyetler Birli?i--Kültürel Ya?am"
000104944001,JC 311/.N22123,"Nationalism and identity construction in Central Asia : dimensions, dynamics, and directions","Nationalism--Asia, Central--Case Studies
Ethnicity--Asia, Central--Case Studies
National Characteristics--Case Studies
Milliyetçilik--Asya, Orta--Örnek Çal??malar
Etniklik--Asya, Orta--Örnek Çal??malar
Ulusal Özellikler--Örnek Çal??malar"
000104949001,BF 81/.W296,"A critical history and philosophy of psychology : diversity of context, thought, and practice","Psychology--History
Psychology--Philosophy
Psikoloji--Tarih
Psikoloji--Felsefe"
000104950001,BL 65 .G4/S78,"The geography of religion : faith, place, and space","Religion and Geography
Din ve Co?rafya"
000104952001,B 2430 .F724/L38,The Cambridge Foucault lexicon,"Foucault, Michel, 1926-1984--Dictionaries
Foucault, Michel, 1926-1984--Sözlükler"
000104954001,BL 480/.F5713,The history of the devil = História do Diabo,"Devil
Deadly Sins
Sin
?eytan
Ölümcül Günahlar
Günah"
000104958001,BF 575 .L8/T37,A?k terapi,"Love
Love--Physiological Aspects
Human Evolution
A?k
A?k--Psikolojik Yönler
?nsan Evrimi"
000104959001,PL 235 .O98/E45,Elif gibi sevmek,"Sufi Poetry, Turkish
Tasavvuf ?iiri, Türkçe"
000104960001,PN 703 .C3719/D86,Dünya edebiyat cumhuriyeti = Le republique mondiale des lettres ,"European Literature--History and Criticism
Avrupa Edebiyat?--Tarih ve Ele?tiri"
000104963001,DP 179 .P39/G73,The grand strategy of Philip II,"Spain--History--Philip II, 1556-1598
Philip II, King of Spain, 1527-1598
Spain--Strategic Aspects
?spanya--Tarih--II. Philip, 1556-1598
II. Philip, ?spanya Kral?, 1527-1598
?spanya--Stratejik Yönler"
000104964001,U 37/.T47,Three Byzantine military treatises,"Military Art and Science--Byzantine Empire
Byzantine Empire--History, Military
Askerlik Sanat? ve Bilim--Bizans ?mparatorlu?u
Bizans ?mparatorlu?u--Tarih, Askeri"
000104965001,HD 31 .K63/I85,"??letme yöneticili?i : yönetim ve organizasyon, organizasyonlarda davran??, klasik, modern, ça?da? ve güncel yakla??mlar","Industrial Management
Management
Planning
Organizational Behavior
Sanayi Yönetimi
Yönetim
Planlama
Örgütsel Davran??"
000104966001,PS 3511 .A594/A9319,Toza sor = Ask the dust ,"Bandini, Arturo (Fictitious Character)--Fiction
Authors--Fiction
Young Men--Fiction
California--Fiction 
Bandini, Arturo (Roman Karakteri)--Roman
Yazarlar--Roman
Genç Erkekler--Roman
Kaliforniya--Roman"
000104971001,KJE 935/.T736,Transnational law : rethinking European law and legal thinking,"Law--European Union Countries--Congresses
International and Municipal Law--European Union Countries--Congresses
Conflict of Laws--European Union Countries--Congresses
Legal Polycentricity--European Union Countries--Congresses
Hukuk--Avrupa Birli?i Ülkeleri--Kongreler
Uluslararas? ve ?ç Hukuk--Avrupa Birli?i Ülkeleri--Kongreler
Kanunlar ?htilaf?--Avrupa Birli?i Ülkeleri--Kongreler
Hukuki Ço?ulluk--Avrupa Birli?i Ülkeleri--Kongreler"
000104975001,PL 248 .K379/M4652,Memleket yaz?lar? 2 : k?rk y?l evvel k?rk y?l sonra Anadolu'da,"Turkish Essays
Turkey, In Literature
Turkey--Description and Travel
Türkçe Denemeler
Türkiye, Edebiyatta
Türkiye--Tan?t?m ve Gezi"
000104976001,PL 248 .K379/M4652,Memleket yaz?lar? 1 : hep ?stanbul,"Turkish Essays
Turkey, In Literature
Turkey--Description and Travel
Türkçe Denemeler
Türkiye, Edebiyatta
Türkiye--Tan?t?m ve Gezi"
000104977001,PL 248 .Y87/B57,Bir masal ?smet Özel’i,"Ozel, Ismet, 1944-
Turkish Literature--Criticism and Interpretation
Özel ?smet, 1944-
Türk Edebiyat?--Ele?tiri ve Yorumlama"
000104978001,PQ 4880 .T36/Y87,Yüre?inin götürdü?ü yere git = Va’dove ti porta il cuore,"Italian Literature
?talyan Edebiyat?"
000104979001,PL 248 .S24/B33,Baba ve piç,"Turkish Fiction
Türk Roman?"
000104980001,LA 948 .T9/K83,Türkiye'de yüksekö?retim : kar??la?t?rmal? bir analiz,"Education, Higher--History
Education, Higher--History--Turkey
Universities and Colleges--Turkey
Higher Education and State--Turkey
Education and State--Turkey--History--20th Century
Yüksek Ö?renim--Tarih
Yüksek Ö?renim--Tarih--Türkiye
Üniversiteler ve Yüksekokullar--Türkiye
Yüksek Ö?renim ve Devlet--Türkiye
E?itim ve Devlet--Türkiye--Tarih--20. Yüzy?l"
000104995001,PG 3328 .Z7/P5787,Dostoevsky the thinker,"Dostoyevsky, Fyodor, 1821-1881--Philosophy
Dostoyevski, Fyodor, 1821-1881--Felsefe

"
000104996001,UA 646.3 .T8/W45,Turkey's new regional security role : implications for the United States,"North Atlantic Treaty Organization--Turkey
European Union--Turkey--Membership
Defense Industries--Turkey
Kuzey Atlantik Antla?mas? Örgütü--Türkiye
Avrupa Birli?i--Türkiye--Üyelik
Savunma Sanayi--Türkiye"
000106015001,BP 130.4 .T273/H87,Menhecü't-tefsir ?nde'l-?mam et-Taberi = ???? ??????? ??? ?????? ??????,"T?abari?, 838?-923. Ja?mi? al-Baya?n ?an Ta?wi?l A?y al-Qur?a?n
Qur?an--Hermeneutics
Taberi, 838?-923. Cami' el-Beyan an Te'vil Ay el-Kur'an
Kur'an-? Kerim--Hermenötik (Yorumbilim)"
000106018001,BP 130.4 .T273/B43,Akvalü Ebü Ubeyde fi tefsiri't-Taberi = ????? ??? ????? ?? ????? ??????,"T?abari?, 838?-923. Ja?mi? al-Baya?n ?an Ta?wi?l A?y Al-Qur?a?n
Abu? Ubaydah Ma?mar Ibn al-Muthanna? al-Taymi?, 728?-824?. Maja?z al-Qur?a?n
Qur?an--Commentaries--History and Criticism
Qur?an--Language, Style
Arabic Language--Rhetoric
Taberi, 838?-923. Cami' el-Beyan an Te'vil Ay el-Kur'an
Ebu Ubeyde Me'mar ?bn el-Musanne et-Teymi, 728?-824?. Mecaz el-Kur'an
Kur'an-? Kerim--Yorumlar--Tarih ve Ele?tiri
Kur'an-? Kerim--Dil, Üslup
Arap Dili--Konu?ma Sanat?"
000106020001,BP 130.45 .S25/T44,et-Tefsir ve’l-müfessirun fi’l-asri’l-hadis = ??????? ????????? ?? ????? ??????,"Qur?an--Criticism, Interpretation, etc.--History
Qur?an--Hermeneutics
Qur?an--Criticism, Interpretation, etc.
Qur?an--Study and Teaching
Kur'an-? Kerim--Ele?tiri, Yorum, vb.--Tarih
Kur'an-? Kerim--Hermenötik (Yorumbilim)
Kur'an-? Kerim--Ele?tiri, Yorum, vb.
Kur'an-? Kerim--E?itim ve Ö?retim"
000106022001,BP 130.2 .S86/U48,Ulumü'l-Kuran ve menahicü'l-müfessirin = ???? ?????? ?????? ????????,"Qur?an--Hermeneutics
Qur?an--Criticism, Interpretation, etc.
Qur?an--Study and Teaching
Kur'an-? Kerim--Hermenötik (Yorumbilim)
Kur'an-? Kerim--Ele?tiri, Yorum, vb.
Kur'an-? Kerim--E?itim ve Ö?retim"
000106025001,BP 130.2 .I27/U48,Ulumü'l-Kur'an = ???? ??????,"Qur?an--Hermeneutics
Kur'an-? Kerim--Hermenötik (Yorumbilim)"
000106026001,BP 130.2 .I27/U48,Ulumü'l-Kur'an = ???? ??????,"Qur?an--Hermeneutics
Kur'an-? Kerim--Hermenötik (Yorumbilim)"
000106052001,BP 135 .A2/H385,Mi?katü'l-mesabih = ????? ????????,"Baghawi?, al-H?usayn Ibn Mas?u?d, -1117?. Mas?a?bi?h? al-Sunnah
Hadith--Texts
Begavi, el-Hüseyin ?bn Mes'ud, -1117?. Mesabih es-Sünne
Hadis--Metinler"
000106060001,BP 135 .A128/B55,Kitabu teracim el-Buhari : el-müsemma münasebat ebvabu Sahih el-Buhari li-ba’zuha ba’zan = ???? ????? ??????? : ?????? ??????? ????? ???? ??????? ?????? ????,"Bukha?ri?, Muh?ammad Ibn Isma??i?l, 810-870. Ja?mi? al-S?ah?i?h?
Hadith--Early Works to 1800
Buhari, Muhammed ?bn ?sma’il, 810-870. Cami' es-Sahih
Hadis--1800’den Önceki Çal??malar"
000106071001,BP 135 .A2/D37,Sünenü'd-Darekutni = ??? ?????????,"D?raqu?n?, Al? Ibn Umar, 918 or 919-995. Sunan
Hadith--Texts--Early Works to 1800
Hadith--Criticism, Interpretation, etc.
Darekutni, Ali ?bn Ömer, 918 veya 919-995. Sünen
Hadis--Metinler--1800’den Önceki Çal??malar
Hadis--Ele?tiri, Yorum, vb."
000106098001,BP 130.2 .H35/T37,Ta'rifü'd-darisin bi-menahic el-müfessirin = ????? ???????? ?????? ????????,"Qur?an--Hermeneutics
Qur?an--Criticism, Interpretation, etc.--History
Qur?an--Study and Teaching--History
Kur'an-? Kerim--Hermenötik (Yorumbilim)
Kur'an-? Kerim--Ele?tiri, Yorum, vb.--Tarih
Kur'an-? Kerim--E?itim ve Ö?retim--Tarih"
